Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;2700000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;2700000000.000000;Hz
Stop;2700000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-53.52410888671875;-53.52410888671875
0.047500000000000001;-53.56884765625;-53.56884765625
0.095000000000000001;-53.548809051513672;-53.548809051513672
0.14250000000000002;-53.554088592529297;-53.554088592529297
0.19;-53.574321746826172;-53.574321746826172
0.23749999999999999;-53.583637237548828;-53.583637237548828
0.28499999999999998;-53.584915161132813;-53.584915161132813
0.33249999999999996;-53.551177978515625;-53.551177978515625
0.37999999999999995;-53.521881103515625;-53.521881103515625
0.42749999999999994;-53.520206451416016;-53.520206451416016
0.47499999999999992;-53.496482849121094;-53.496482849121094
0.52249999999999996;-53.453281402587891;-53.453281402587891
0.56999999999999995;-53.371341705322266;-53.371341705322266
0.61749999999999994;-53.415786743164062;-53.415786743164062
0.66499999999999992;-53.350021362304688;-53.350021362304688
0.71249999999999991;-53.258415222167969;-53.258415222167969
0.7599999999999999;-53.216773986816406;-53.216773986816406
0.80749999999999988;-53.211650848388672;-53.211650848388672
0.85499999999999987;-53.066951751708984;-53.066951751708984
0.90249999999999986;-53.064376831054687;-53.064376831054687
0.94999999999999984;-52.929676055908203;-52.929676055908203
0.99749999999999983;-52.87969970703125;-52.87969970703125
1.0449999999999999;-52.770561218261719;-52.770561218261719
1.0925;-52.68109130859375;-52.68109130859375
1.1400000000000001;-52.565513610839844;-52.565513610839844
1.1875000000000002;-52.387584686279297;-52.387584686279297
1.2350000000000003;-52.332893371582031;-52.332893371582031
1.2825000000000004;-52.197975158691406;-52.197975158691406
1.3300000000000005;-52.041366577148437;-52.041366577148437
1.3775000000000006;-51.914482116699219;-51.914482116699219
1.4250000000000007;-51.752315521240234;-51.752315521240234
1.4725000000000008;-51.586204528808594;-51.586204528808594
1.5200000000000009;-51.518051147460938;-51.518051147460938
1.567500000000001;-51.325031280517578;-51.325031280517578
1.6150000000000011;-51.238761901855469;-51.238761901855469
1.6625000000000012;-51.120395660400391;-51.120395660400391
1.7100000000000013;-51.015758514404297;-51.015758514404297
1.7575000000000014;-50.908351898193359;-50.908351898193359
1.8050000000000015;-50.754524230957031;-50.754524230957031
1.8525000000000016;-50.652236938476562;-50.652236938476562
1.9000000000000017;-50.575576782226563;-50.575576782226563
1.9475000000000018;-50.477672576904297;-50.477672576904297
1.9950000000000019;-50.384487152099609;-50.384487152099609
2.0425000000000018;-50.277824401855469;-50.277824401855469
2.0900000000000016;-50.216163635253906;-50.216163635253906
2.1375000000000015;-50.197292327880859;-50.197292327880859
2.1850000000000014;-50.067684173583984;-50.067684173583984
2.2325000000000013;-50.023830413818359;-50.023830413818359
2.2800000000000011;-50.008106231689453;-50.008106231689453
2.327500000000001;-49.928333282470703;-49.928333282470703
2.3750000000000009;-49.88128662109375;-49.88128662109375
2.4225000000000008;-49.856479644775391;-49.856479644775391
2.4700000000000006;-49.822963714599609;-49.822963714599609
2.5175000000000005;-49.797599792480469;-49.797599792480469
2.5650000000000004;-49.758995056152344;-49.758995056152344
2.6125000000000003;-49.724777221679688;-49.724777221679688
2.6600000000000001;-49.677829742431641;-49.677829742431641
