Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;2700000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;2700000000.000000;Hz
Stop;2700000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;1890;
0.0;-59.12034606933594;-59.12034606933594
0.0475;-59.1627082824707;-59.1627082824707
0.095;-59.11628341674805;-59.11628341674805
0.14250000000000002;-59.1304931640625;-59.1304931640625
0.19;-59.174957275390625;-59.174957275390625
0.2375;-59.12606430053711;-59.12606430053711
0.285;-59.14510726928711;-59.14510726928711
0.33249999999999996;-58.97916793823242;-58.97916793823242
0.37999999999999995;-59.185733795166016;-59.185733795166016
0.42749999999999994;-59.15807342529297;-59.15807342529297
0.4749999999999999;-59.157142639160156;-59.157142639160156
0.5225;-59.13530731201172;-59.13530731201172
0.57;-59.14825439453125;-59.14825439453125
0.6174999999999999;-59.07469177246094;-59.07469177246094
0.6649999999999999;-58.95212173461914;-58.95212173461914
0.7124999999999999;-58.921653747558594;-58.921653747558594
0.7599999999999999;-58.881385803222656;-58.881385803222656
0.8074999999999999;-58.89423370361328;-58.89423370361328
0.8549999999999999;-58.7932014465332;-58.7932014465332
0.9024999999999999;-58.82779312133789;-58.82779312133789
0.9499999999999998;-58.711421966552734;-58.711421966552734
0.9974999999999998;-58.53460693359375;-58.53460693359375
1.045;-58.5763053894043;-58.5763053894043
1.0925;-58.54030990600586;-58.54030990600586
1.1400000000000001;-58.48468780517578;-58.48468780517578
1.1875000000000002;-58.43723678588867;-58.43723678588867
1.2350000000000003;-58.26224136352539;-58.26224136352539
1.2825000000000004;-58.26990509033203;-58.26990509033203
1.3300000000000005;-58.32020950317383;-58.32020950317383
1.3775000000000006;-58.34446716308594;-58.34446716308594
1.4250000000000007;-58.29877471923828;-58.29877471923828
1.4725000000000008;-58.285789489746094;-58.285789489746094
1.520000000000001;-58.421905517578125;-58.421905517578125
1.567500000000001;-58.50007629394531;-58.50007629394531
1.615000000000001;-58.606868743896484;-58.606868743896484
1.6625000000000012;-58.61385726928711;-58.61385726928711
1.7100000000000013;-58.82597732543945;-58.82597732543945
1.7575000000000014;-58.88119888305664;-58.88119888305664
1.8050000000000015;-59.1316032409668;-59.1316032409668
1.8525000000000016;-59.220184326171875;-59.220184326171875
1.9000000000000017;-59.51597213745117;-59.51597213745117
1.9475000000000018;-59.65573501586914;-59.65573501586914
1.9950000000000019;-59.89534378051758;-59.89534378051758
2.0425000000000018;-60.10148620605469;-60.10148620605469
2.0900000000000016;-60.26066589355469;-60.26066589355469
2.1375000000000015;-60.585147857666016;-60.585147857666016
2.1850000000000014;-60.824676513671875;-60.824676513671875
2.2325000000000013;-60.90647506713867;-60.90647506713867
2.280000000000001;-61.14530944824219;-61.14530944824219
2.327500000000001;-61.3726921081543;-61.3726921081543
2.375000000000001;-61.62570571899414;-61.62570571899414
2.4225000000000008;-61.851924896240234;-61.851924896240234
2.4700000000000006;-61.9239501953125;-61.9239501953125
2.5175000000000005;-61.97027587890625;-61.97027587890625
2.5650000000000004;-62.0870246887207;-62.0870246887207
2.6125000000000003;-62.119747161865234;-62.119747161865234
2.66;-62.239036560058594;-62.239036560058594
2.7075;-62.1598014831543;-62.1598014831543
2.755;-62.3310432434082;-62.3310432434082
